Handle,Title,Body (HTML),Vendor
android-phones3,ANDROID PHONES,<p>XPERIA Z3 <br><strong>Model no:</strong> D6653 <br><strong>Brand:</strong> SONY <br><strong>ALU:</strong> 6880 <strong><strong><br><strong>Size:</strong></strong></strong> 16GB <br><strong>Color:</strong> BLACK</p>,SONY
android-phones2,ANDROID PHONES,<p>ZENFONE 6 3G <br><strong>Model no:</strong> ASUS-T00G(A601CG) <br><strong>Brand:</strong> ASUS <br><strong>ALU:</strong> 6870 <strong><strong><br><strong>Size:</strong></strong></strong> 16GB <br><strong>Color:</strong> BLACK</p>,ASUS
android-phones1,ANDROID PHONES,<p>ZENFONE 6 3G <br><strong>Model no:</strong> ASUS-T00G(A600CG) <br><strong>Brand:</strong> ASUS <br><strong>ALU:</strong> 6225 <strong><strong><br><strong>Size:</strong></strong></strong> 16GB <br><strong>Color:</strong> BLACK</p>,ASUS
android-phones,ANDROID PHONES,"<p>GALAXY 4G <br> <strong>Model no:</strong> A7 SM-A700YD <br> <strong>Brand:</strong> SAMSUNG <br> <strong>ALU:</strong> 6224 <strong><br> Size:</strong> 16GB <br> <strong>Color:</strong> BLACK</p>
<!-- split -->
<ul id=""tabs"">
<li><a href=""#"" id=""tab1"">Features</a></li>
<li><a href=""#"" id=""tab2"">Specifications</a></li>
</ul>
<div class=""container"" id=""tab1C"">
<p><strong>Premium metal design and stylish colors</strong></p>
<p>The first Samsung smartphone with a full metal body, the Samsung GALAXY A7 boasts an innovative, luxurious design and a stunning 5.5"" FHD sAMOLED display. You can feel the premium quality of the sleek full metal body in your hand. And with various colors, you can choose the Samsung GALAXY A7 that best fits your personality and style.</p>
<p> </p>
<p><strong>Smarter selfie shooting</strong></p>
<p>Forearms weren't meant to be a distraction in your photos. With the Samsung GALAXY A7 you don’t need to touch the button when taking selfies. Snap a selfie with your voice or palm and make your friends think your own personal photographer is following you around. With the latest image detection and voice recognition software, the Samsung GALAXY A7 is taking the selfie to the next level.</p>
<p> </p>
<p><strong>Group selfies with more friends</strong></p>
<p>You have tons of friends. Finally your phone can fit them all into one shot! The new Wide Selfie function allows you to create a panorama-like selfie by merging three photos taken from the left/middle/right into one perfect group selfie. Now you can capture all your friends in one photo with up to 106° wide-angle front camera. And the auto-editing functions make sure you look your best in every shot.</p>
<p> </p>
<p><strong>Adaptive display and sound</strong></p>
<p>The Alive Super AMOLED Display and the Adapt Display deliver true-to-life colors on your Samsung GALAXY A7 which intelligently adapt to your surroundings. With its automatic Adjustable Audio, your Samsung GALAXY A7 will automatically increase or decrease the volume in response to the background noise around you.</p>
<p> </p>
<p><strong>Fun selfie experience with animated GIF</strong></p>
<p>Sometimes you need more than one photo to show what's going on. The GALAXY A7’s Animated Selfie lets you record those longer moments by snapping up to 20 continuous photos and automatically creating a sharable GIF instead of a movie.</p>
<p> </p>
<p><strong>New interface and sound</strong></p>
<p>Its newly designed interface offers a diverse range of changeable themes on your A7. Plus, new ringtones, startup, touch, and notification sounds specifically made for the GALAXY A7 will perfectly match your mood and style. Show off your own style with Samsung GALAXY A7's new interface and sound.</p>
<p> </p>
<p><strong>Powerful performance</strong></p>
<p>Equipped with a Octa-core processor (1.5GHz Quad-core + 1.0GHz Quad-core), the GALAXY A7 runs at geek speeds. You’ll be seamlessly watching movies, listening to music, and running multiple apps at blazing speeds. With support for the LTE Cat 4, you'll be downloading a lot faster than the guy next to you.</p>
<p> </p>
<p><strong>Efficient power use</strong></p>
<p>Never miss important calls because of a dead battery. Ultra Power Saving mode dramatically reduces battery consumption by shutting down unnecessary functions, ensuring your phone is available when you really need it. A smarter battery for a smarter phone.</p>
</div>
<div class=""container"" id=""tab2C"">
<h4>Processor</h4>
<strong>CPU Speed</strong>
<p>1.5GHz, 1GHz</p>
<strong>CPU Type</strong>
<p>Octa-Core</p>
<h4>Display</h4>
<strong>Size (Main Display)</strong>
<p>5.5""</p>
<strong>Resolution (Main Display)</strong>
<p>1920 x 1080 (FHD)</p>
<strong>Technology (Main Display)</strong>
<p>Super AMOLED</p>
<strong>Colour Depth (Main Display)</strong>
<p>16M</p>
<strong>Size (Sub Display)</strong>
<p>N/A</p>
<strong>S Pen Support</strong>
<p>No</p>
</div>
<div class=""container"" id=""tab3C""></div>
<!-- split -->",SAMSUNG
2-ring-binder7,2 RING BINDER,"<p>D RING 50MM PVC <br><strong>ALU:</strong> 2874 <br><strong>Size:</strong> 2INCH <br><strong>Color:</strong> WHITE</p>
<!-- split -->
<ul id=""tabs"">
<li><a href=""#"" id=""tab1"">Features</a></li>
</ul>
<div class=""container"" id=""tab1C"">
<ul>
<li>Quality presentation ring binders with a heavyweig</li>
<li>Heavyduty clear pocket on front cover spine and in</li>
<li>Available with either a two or four Dring mechanis</li>
<li>Extra wide format for use with punched pockets</li>
</ul>
</div>
<div class=""container"" id=""tab2C"">
<strong>Demo1:</strong> Demo 1 specification<br> <strong>Demo2</strong>: Demo 2 specification<br> <strong>Demo3:</strong> Demo 3 specification<br> <strong>Demo4:</strong> Demo 4 specification<br> <strong>Demo5:</strong> Demo 5 specification</div>
<div class=""container"" id=""tab3C"">Other Content</div>
<!-- split -->",None
2-ring-binder6,2 RING BINDER,"<p>D RING 25MM PVC <br><strong>Brand:</strong> BAMBI <br><strong>ALU:</strong> 8990000000000 <br><strong>Size:</strong> 1INCH <br><strong>Color:</strong> WHITE</p>
<!-- split -->
<ul id=""tabs"">
<li><a href=""#"" id=""tab1"">Description </a></li>
</ul>
<div class=""container"" id=""tab1C"">• clear pocket on the front &amp;spine for insertion of printed material<br> • create attractive customised design cover in minutes<br> • D-ring mechanism allows papers to lie flat<br> • various colours, rings, sizes &amp; capacities to choose from</div>
<!-- split -->",BAMBI
2-ring-binder5,2 RING BINDER,"<p>D RING 25MM PVC <br><strong>ALU:</strong> 1755 <br><strong>Size:</strong> 1INCH <br><strong>Color:</strong> WHITE</p>
<!-- split -->
<ul id=""tabs"">
<li><a href=""#"" id=""tab1"">Description</a></li>
</ul>
<div class=""container"" id=""tab1C"">
<ul>
<li>Round ring design</li>
<li>Clear overlay front, back, and spines</li>
<li>Interior pockets in front and back</li>
</ul>
</div>
<div class=""container"" id=""tab2C"">
<strong>Demo1:</strong> Demo 1 specification<br> <strong>Demo2</strong>: Demo 2 specification<br> <strong>Demo3:</strong> Demo 3 specification<br> <strong>Demo4:</strong> Demo 4 specification<br> <strong>Demo5:</strong> Demo 5 specification</div>
<div class=""container"" id=""tab3C"">Other Content</div>
<!-- split -->",None
2-ring-binder4,2 RING BINDER,"<p>D RING 25MM <br><strong>Model no:</strong> RX1-A <br><br></p>
<!-- split -->
<ul id=""tabs"">
<li><a href=""#"" id=""tab1"">Description </a></li>
</ul>
<div class=""container"" id=""tab1C"">RX1-A flexi ring file A4 is suitable for office and home use. <br> <strong>Packaging Size :</strong> 312mm (H) x 242mm (W)</div>
<!-- split -->",FLEXI
2-ring-binder4,,,
2-ring-binder3,2 RING BINDER,"<p>D RING 25MM <br><strong>Model no:</strong> RX1-A <br><strong>Brand:</strong> FLEXI <br><strong>ALU:</strong> 8890000000000 <br><strong>Size:</strong> 1INCH <br><strong>Color:</strong> BLACK</p>
<!-- split -->
<ul id=""tabs"">
<li><a href=""#"" id=""tab1"">Description </a></li>
<li><a href=""#"" id=""tab2"">Specifications</a></li>
<li><a href=""#"" id=""tab3"">Others</a></li>
</ul>
<div class=""container"" id=""tab1C"">Description Tab Text</div>
<div class=""container"" id=""tab2C"">
<strong>Demo1:</strong> Demo 1 specification<br> <strong>Demo2</strong>: Demo 2 specification<br> <strong>Demo3:</strong> Demo 3 specification<br> <strong>Demo4:</strong> Demo 4 specification<br> <strong>Demo5:</strong> Demo 5 specification</div>
<div class=""container"" id=""tab3C"">Other Content</div>
<!-- split -->",FLEXI
2-ring-binder2,2 RING BINDER,"<p>D RING FILE 25MM <br><strong>Model no:</strong> LS3004F <br><strong>Brand:</strong> ELSOON <br><strong>ALU:</strong> 8890000000000 <br><strong>Size:</strong> 1INCH <br><strong>Color:</strong> ASST</p>
<!-- split -->
<ul id=""tabs"">
<li><a href=""#"" id=""tab1"">Description </a></li>
<li><a href=""#"" id=""tab2"">Specifications</a></li>
<li><a href=""#"" id=""tab3"">Others</a></li>
</ul>
<div class=""container"" id=""tab1C"">Description Tab Text</div>
<div class=""container"" id=""tab2C"">
<strong>Demo1:</strong> Demo 1 specification<br> <strong>Demo2</strong>: Demo 2 specification<br> <strong>Demo3:</strong> Demo 3 specification<br> <strong>Demo4:</strong> Demo 4 specification<br> <strong>Demo5:</strong> Demo 5 specification</div>
<div class=""container"" id=""tab3C"">Other Content</div>
<!-- split -->",ELSOON
2-ring-binder1,2 RING BINDER,"<p>D RING 25MM <br><strong>Model no:</strong> EX-586166 <br><strong>Brand:</strong> FLAMINGO <br><strong>ALU:</strong> 8890000000000 <br><strong>Size:</strong> 1INCH <br><strong>Color:</strong> ASST</p>
<!-- split -->
<ul id=""tabs"">
<li><a href=""#"" id=""tab1"">Description</a></li>
</ul>
<div class=""container"" id=""tab1C"">
<ul>
<li>D Ring 25MM</li>
<li>1 Inch</li>
<li>Made of durable polypropylene</li>
</ul>
</div>
<div class=""container"" id=""tab2C"">
<strong>Demo1:</strong> Demo 1 specification<br> <strong>Demo2</strong>: Demo 2 specification<br> <strong>Demo3:</strong> Demo 3 specification<br> <strong>Demo4:</strong> Demo 4 specification<br> <strong>Demo5:</strong> Demo 5 specification</div>
<div class=""container"" id=""tab3C"">Other Content</div>
<!-- split -->",FLAMINGO
2-ring-binder,2 RING BINDER,"<p>D RING 25MM <br><strong>Brand:</strong> ASTERS <br><strong>ALU:</strong> 9710000000000 <br><strong>Size:</strong> 1 INCH <br><strong>Color:</strong> ASST</p>
<!-- split -->
<ul id=""tabs"">
<li><a href=""#"" id=""tab1"">Description</a></li>
</ul>
<div class=""container"" id=""tab1C"">• 2 Ring Binder<br>• D Ring 25MM</div>
<div class=""container""></div>
<div class=""container"" id=""tab2C""></div>
<!-- split -->",Asters
wrapping-tape1,WRAPPING TAPE,"<p>DISCO TAPE <br><strong>ALU:</strong> 5235 <br><strong>Color:</strong> ASST</p>
<!-- split -->
<ul id=""tabs"">
<li><a href=""#"" id=""tab1"">Description </a></li>
<li><a href=""#"" id=""tab2"">Specifications</a></li>
<li><a href=""#"" id=""tab3"">Others</a></li>
</ul>
<div class=""container"" id=""tab1C"">Description Tab Text</div>
<div class=""container"" id=""tab2C"">
<strong>Demo1:</strong> Demo 1 specification<br> <strong>Demo2</strong>: Demo 2 specification<br> <strong>Demo3:</strong> Demo 3 specification<br> <strong>Demo4:</strong> Demo 4 specification<br> <strong>Demo5:</strong> Demo 5 specification</div>
<div class=""container"" id=""tab3C"">Other Content</div>
<!-- split -->",None
windows-tablet7,WINDOWS TABLET,<p>i5/12INCH/4GB/128GB/HD/W8.1 <br><strong>Model no:</strong> TOUCHSCREEN SURFACE PRO 3 <br><strong>Brand:</strong> MICROSOFT <br><strong>ALU:</strong> 888000000000 <br><strong>Color:</strong> SLV/BLK</p>,MICROSOFT
windows-tablet6,WINDOWS TABLET,<p>i7/12INCH/8GB/256GB/HD/W8.1 <br><strong>Model no:</strong> SURFACE PRO 3 +OFFICE 365 <br><strong>Brand:</strong> MICROSOFT <br><strong>ALU:</strong> 886000000000 <br><strong>Color:</strong> SLV/BLK</p>,MICROSOFT
white-board-marker8,WHITE BOARD MARKER,"<p><strong>Model no:</strong> 500 <br><br></p>
<!-- split -->
<ul id=""tabs"">
<li><a href=""#"" id=""tab1"">Specifications</a></li>
<li><a href=""#"" id=""tab2"">Features</a></li>
</ul>
<div class=""container"" id=""tab1C"">
<strong>Product :</strong> Whiteboard Marker <br> <strong>Brand / Model :</strong> Yosogo <br> <strong>Item Code :</strong> 500 (8C)</div>
<div class=""container"" id=""tab2C"">- Fine / bullet &amp; board / chisel line nib.<br> - Alcohol-based ink for fast drying and easy cleaning or dry wipe. <br> - Multi-purpose, all-round whiteboard marker suitable to write on whiteboard, coated flip chart and glass. <br> - Japan technology writing system.</div>
<!-- split -->",YOSOGO
white-board-marker8,,,
white-board-marker8,,,
white-board-marker8,,,
white-board-marker8,,,
white-board-marker8,,,
white-board-marker8,,,
white-board-marker8,,,
white-board-marker8,,,
water-color-cake-set4,WATER COLOR TUBE SET,"<p>15COLOR <br><strong>Model no:</strong> D-9015P <br><strong>ALU:</strong> 6216 <br><strong>Color:</strong> ASST</p>
<!-- split -->
<ul id=""tabs"">
<li><a href=""#"" id=""tab1"">Description </a></li>
</ul>
<div class=""container"" id=""tab1C"">Water color tube set – 15 colors <br> Non- toxic</div>
<!-- split -->",None
water-color-cake-set3,WATER COLOR TUBE SET,"<p>12COLOR <br><strong>Model no:</strong> D-9012P <br><strong>ALU:</strong> 1026 <br><strong>Color:</strong> ASST</p>
<!-- split -->
<ul id=""tabs"">
<li><a href=""#"" id=""tab1"">Description </a></li>
</ul>
<div class=""container"" id=""tab1C"">Water color tube set – 12 colors <br> Non- toxic</div>
<!-- split -->",None
water-color-cake-set2,WATER COLOR TUBE SET,"<p>12 COLOR <br><strong>Model no:</strong> 1400098 <br><strong>Brand:</strong> FABER CASTELL <br><strong>ALU:</strong> 8900000000000 <br><strong>Color:</strong> ASST</p>
<!-- split -->
<ul id=""tabs"">
<li><a href=""#"" id=""tab1"">Description </a></li>
<li><a href=""#"" id=""tab2"">Specifications</a></li>
<li><a href=""#"" id=""tab3"">Others</a></li>
</ul>
<div class=""container"" id=""tab1C"">Description Tab Text</div>
<div class=""container"" id=""tab2C"">
<strong>Demo1:</strong> Demo 1 specification<br> <strong>Demo2</strong>: Demo 2 specification<br> <strong>Demo3:</strong> Demo 3 specification<br> <strong>Demo4:</strong> Demo 4 specification<br> <strong>Demo5:</strong> Demo 5 specification</div>
<div class=""container"" id=""tab3C"">Other Content</div>
<!-- split -->",FABER CASTELL
water-color-cake-set1,WATER COLOR CAKE SET,"<p>12COLOR ACQUERELLI <br><strong>Model no:</strong> 535200 <br><strong>Brand:</strong> GIOTTO <br><strong>ALU:</strong> 8000000000000 <br><strong>Color:</strong> ASST</p>
<!-- split -->
<ul id=""tabs"">
<li><a href=""#"" id=""tab1"">Description </a></li>
</ul>
<div class=""container"" id=""tab1C"">Giotto water color watercolor cake is dense, it can be dissolved in water. Suitable for school children to professional artists<br> • Watercolor solid<br> • Miscible with water<br> • Suitable for school children to professional artists<br> • 12 Colors</div>
<!-- split -->",GIOTTO
visitor-chair3,VISITOR CHAIR,<p>FABRIC <br><strong>Model no:</strong> L014A <br><strong>Brand:</strong> MEIBANG <br><strong>ALU:</strong> 6570 <br><strong>Color:</strong> RED</p>,MEIBANG
visitor-chair2,VISITOR CHAIR,<p>MESH <br><strong>Model no:</strong> W-19 <br><strong>Brand:</strong> ANJI <br><strong>ALU:</strong> 5807 <br><strong>Color:</strong> BLACK</p>,ANJI
visitor-chair1,VISITOR CHAIR,<p>FABRIC <br><strong>Model no:</strong> L014A <br><strong>Brand:</strong> MEIBANG <br><strong>ALU:</strong> 5806 <br><strong>Color:</strong> BLACK</p>,MEIBANG
visitor-chair,VISITOR CHAIR,<p>3 SEATER FABRIC <br><strong>Model no:</strong> KS-LIN002 <br><strong>Brand:</strong> WILLY <br><strong>ALU:</strong> 6628 <br><strong>Color:</strong> BLACK</p>,WILLY
visitor-chair,,,
usb-hub3,USB HUB,"<p>4 PORT USB 3.0<span> </span><br> <strong>Model no:</strong><span> 64386 </span><br> <strong>Brand:</strong><span> VERBATIM </span><br> <strong>ALU:</strong><span> 92636276331 </span><br> <strong>Color:</strong><span> WHITE</span></p>
<!-- split -->
<ul id=""tabs"">
<li><a href=""#"" id=""tab1"">Features</a></li>
<li><a href=""#"" id=""tab2"">Specifications</a></li>
</ul>
<div class=""container"" id=""tab1C"">
<p>Verbatim USB3.0 Portable Hub makes transferring your digital data faster and easier than ever.</p>
<p>Allowing for transfer speeds <em>up to 10 times faster </em>than USB 2.0 hub, and a sleek, streamlined design with porcelain white polish, the USB3.0 Portable Hub is ideal for connecting external hard drives, USB devices and smart phones/tablets to desktop and notebook computers.</p>
<p>Offering plug-and-play functionality with both Windows &amp; Mac operating systems, once connected, you can instantly begin transferring your photos &amp; files.</p>
<p>It comes with one dedicated <em>Fast-Charge Port</em> for smart phones &amp; tablets (supports output 1.5A when plugged to power supply via USB port or power adaptor).</p>
<p><strong>Key features:</strong></p>
<ul>
<li>Ideal for connecting USB devices, Smart Phones &amp; Tablets to PC/Notebooks</li>
<li>Supports “Hot-Swapping” and “Plug &amp; Play”</li>
<li>Full forward &amp; backward compatibility between USB3.0, 2.0, 1.1 &amp; 1.0 Hosts and Devices</li>
<li>Dedicated Fast-charge port for smart phones &amp; tablets (1.5A)</li>
<li>Sleek, Streamlined Curve Design with Porcelain White Polish</li>
<li>Verbatim One Year Warranty</li>
</ul>
</div>
<div class=""container"" id=""tab2C"">
<ul>
<li>Interface: USB3.0 (USB 2.0, 1.11 &amp; 1.0 compatible)</li>
<li>Operating System: Windows 8, 7, Vista, XP, SE/ME, 2000, 1998; Mac OS 10.0 &amp; higher</li>
<li>Power Source: Self-Powered Hub</li>
<li>Supply Current: 900mA/port x 3, 1.5A (Fast-charge) x 1                     </li>
<li>Product Dimensions: 11.6 x 6 x 2.2 (L x W x H)cm</li>
<li>Product Weight: 60g</li>
<li>Product Number: 64386</li>
</ul>
</div>
<!-- split -->",VERBATIM
usb-hub2,USB HUB,"<p>3 PORT WITH ETHERNET <br><strong>Model no:</strong> ACH121AP <br><strong>Brand:</strong> TARGUS <br><strong>ALU:</strong> 6741 <br><strong>Color:</strong> BLACK</p>
<!-- split -->
<ul id=""tabs"">
<li><a href=""#"" id=""tab1"">Description </a></li>
<li><a href=""#"" id=""tab2"">Features</a></li>
</ul>
<div class=""container"" id=""tab1C"">USB 3.0 SuperSpeed ports<br> Single USB 3.0 cable connects to Laptop/Ultrabook<br> 10/100/1000 Ethernet port (driver required)<br> Description<br> Increase your Laptop connectivity with the USB 3.0 Hub with Gigabit Ethernet. The hub provides 3 additional USB 3.0 SuperSpeed ports plus a Gigabit Ethernet port, great for slim laptops that don’t have Ethernet built-in.</div>
<div class=""container"" id=""tab2C"">USB 3.0 SuperSpeed ports<br> Single USB 3.0 cable connects to Laptop/Ultrabook<br> 10/100/1000 Ethernet port (driver required)</div>
<!-- split -->",TARGUS
usb-hub1,USB HUB,"<p>7 PORT USB 3.0 SUPERSPEED COMB<span> </span><br> <strong>Model no:</strong><span> ACH120AP </span><br> <strong>Brand:</strong><span> TARGUS </span><br> <strong>ALU:</strong><span> 6940000000000 </span><br> <strong>Color:</strong><span> BLACK</span></p>
<!-- split -->
<ul id=""tabs"">
<li><a href=""#"" id=""tab1"">Description </a></li>
<li><a href=""#"" id=""tab2"">Features</a></li>
</ul>
<div class=""container"" id=""tab1C"">
<ul>
<li>3 x USB 3.0 &amp; 4 x USB 2.0 connectivity ports.</li>
<li>Including high performance USB 3.0 cable &amp; power adapter for stable operation of connected devices.</li>
<li>Up to 10x faster than USB 2.0 Also accepts USB 2.0/1.x devices.</li>
</ul>
<p>A sleek design for a new breed of USB products, that is what Targus offers with this new hub with a total of 7 ports.</p>
<p><br> Ever increasing number of USB 3.0 devices are being manufactured that need to be connected. What better way than to simplify all that by using a hub that combines 3 x USB 3.0 ports with an additional 4 x USB 2.0 ports.</p>
<p><br> HD media files, large files, and other resource-intensive operations can be handled at Super Speeds up to 5 Mbps.</p>
<p><br> The new 7-port hub will expand your USB capability to allow you the simultaneous connection of up to 7 devices that would otherwise clutter your desk with cables and occupy all of your desktop or laptop’s USB ports.</p>
</div>
<div class=""container"" id=""tab2C"">
<ul>
<li>3 x USB 3.0 &amp; 4 x USB 2.0 connectivity ports</li>
<li>Including high performance USB 3.0 cable &amp; power adapter for stable operation of connected devices</li>
<li>Up to 10x faster than USB 2.0 Also accepts USB 2.0/1.x devices </li>
<li>Supports Hot-Swap: Plug &amp; Play devices without rebooting</li>
<li>Up to 5 Gbps transfer speed Providing up to 80% more power than a USB 2.0 port</li>
</ul>
</div>
<div class=""container"" id=""tab3C"">Other Content</div>
<!-- split -->",TARGUS
usb-hub,USB HUB,"<p>4 PORT USB 3.0 <br><strong>Model no:</strong> A7511 <br><strong>Brand:</strong> ANKER <br><strong>ALU:</strong> 92636280727 <br><strong>Color:</strong> ASST</p>
<!-- split -->
<ul id=""tabs"">
<li><a href=""#"" id=""tab1"">Description </a></li>
</ul>
<div class=""container"" id=""tab1C"">More Ports: Turn one of your computer's USB ports into four.<br> SuperSpeed Data: Up to 5 Gbps data speeds let you transfer an HD movie in seconds.<br> Ultra Portable: About an ounce in weight and super small, making it easy to grab and go.<br> Extra Durable: Cable reinforcement, sturdy exterior and heat-resistant connectors ensure ultimate durability.<br> What You Get: Anker Ultra Slim 4-Port USB 3.0 Data Hub, welcome guide, our fan-favorite 18-month warranty and friendly customer service.</div>
<!-- split -->",ANKER
usb-cable15,USB CABLE,<p>SAMSUNG GALAXY NOTE 3 <br><strong>ALU:</strong> 6647 <br><strong>Color:</strong> WHITE</p>,None
